Site,MPA,Station,Year_assessment,index,biotic,physical,EMPA_siteid,EMPA_MPA,EMPA_index,EMPA_bio,EMPA_phys,indexscore,physical_structure,biotic_structure
NC-TEN,MPA,1,2023,85,86.11,62.5,NC-TEN,MPA,91,87,83.3,75,62.5,83.33
NC-TEN,MPA,2,2023,93,88.89,87.5,NC-BIGR,MPA,87,83.3,95.8,56,25,44.44
NC-TEN,MPA,3,2023,95,86.11,100,NC-NAV,MPA,73.7,63,58.3,67,37.5,52.78
NC-BIGR,MPA,1,2023,90,91.67,100,NC-DRA,MPA,NA,NA,NA,55,37.5,44.44
NC-BIGR,MPA,2,2023,81,72.22,87.5,NC-BOL,Non-MPA,NA,NA,NA,69,62.5,88.89
NC-BIGR,MPA,3,2023,90,86.11,100,CC-PAJ,Non-MPA,63.7,69.4,58.3,77,62.5,80.56
NC-NAV,MPA,1,2023,80,66.67,75,CC-MCS,MPA,55,68.5,37.5,64,50,47.22
NC-NAV,MPA,2,2023,78,72.22,62.5,CC-CAR,Non-MPA,81.5,76.4,87.5,62,25,52.78
NC-NAV,MPA,3,2023,63,50,37.5,CC-ADLC,MPA,85,72.2,75,73,75,100
NC-DRA,MPA,1,NA,NA,NA,NA,CC-MOR,MPA,NA,NA,NA,62,37.5,61.11
NC-DRA,MPA,2,NA,NA,NA,NA,SC-GOL,MPA,61.7,74.1,58.3,76,62.5,69.44
NC-DRA,MPA,3,NA,NA,NA,NA,SC-VEN,Non-MPA,71.3,80.6,62.5,65,37.5,80.56
NC-BOL,Non-MPA,1,NA,NA,NA,NA,SC-MAL,Non-MPA,64.7,66.7,62.5,61,25,52.78
NC-BOL,Non-MPA,2,NA,NA,NA,NA,SC-BOL,MPA,NA,NA,NA,64,37.5,52.78
NC-BOL,Non-MPA,3,NA,NA,NA,NA,SC-NEW,MPA,58,52.8,75,67,37.5,63.89
CC-PAJ,Non-MPA,1,2021,57,55.56,50,SC-BAT,MPA,65.7,63,58.3,76,75,86.11
CC-PAJ,Non-MPA,2,2021,71,72.22,75,NA,NA,NA,NA,NA,76,50,88.89
CC-PAJ,Non-MPA,3,2021,63,80.56,50,NA,NA,NA,NA,NA,88,87.5,88.89
CC-MCS,MPA,1,2021,54,69.44,37.5,NA,NA,NA,NA,NA,91,100,91.67
CC-MCS,MPA,2,2021,51,55.56,37.5,NA,NA,NA,NA,NA,40,25,44.44
CC-MCS,MPA,3,2021,60,80.56,37.5,NA,NA,NA,NA,NA,85,100,94.44
CC-CAR,Non-MPA,1&2,2021,91,97.22,100,NA,NA,NA,NA,NA,62,50,61.11
CC-CAR,Non-MPA,3,2021,72,55.56,75,NA,NA,NA,NA,NA,81,100,77.78
CC-ADLC,MPA,1,2021,85,72.22,75,NA,NA,NA,NA,NA,74,75,75
CC-ADLC,MPA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,75,97.22
CC-MOR,MPA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,62.5,88.89
CC-MOR,MPA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,75,100
CC-MOR,MPA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,75,58.33
SC-GOL,MPA,1,2022,58,75,50,NA,NA,NA,NA,NA,81,75,66.67
SC-GOL,MPA,2,2022,64,72.22,62.5,NA,NA,NA,NA,NA,76,62.5,55.56
