"","siteid","estuaryname","stationno","samplecollectiondate","tide","transectreplicate","habitat","datacollector","dataentryperson","samplemetadatanotes","projectid","elevation_time","elevation_ellipsoid","elevation_units","elevation_corr","datum_latlong","elevation_timezone","elevation_orthometric","elevation_datum","method","plotreplicate","vegetated_cover","non_vegetated_cover","latitude","longitude","objectid","region","estuaryclass","mpastatus","estuarytype"
"1","SC-AGH","Agua Hedionda",2,"2023-11-08","low",2,"Low marsh","Doug Gibson","Conor Daniells","","Bight-Estuary-23","00:00:00",-88,"m","No","33.1413, -117.316294","PDT",-88,"-88","across_elevation",6,96,4,33.1413,-117.316294,18,"South","Lagoonal","NON-MPA","Perennially Open"
"2","SC-SEL","San Elijo Lagoon",2,"2023-11-22","low",3,"Mid marsh","Doug Gibson","Conor Daniells","","Bight-Estuary-23","00:00:00",-88,"m","No","33.009794, -117.27365","PDT",-88,"-88","across_elevation",4,100,0,33.009794,-117.27365,29,"South","Riverine","MPA","Perennially Open"
"3","SC-SEL","San Elijo Lagoon",2,"2023-11-22","low",3,"Low marsh","Doug Gibson","Conor Daniells","","Bight-Estuary-23","00:00:00",-88,"m","No","33.009839, -117.273646","PDT",-88,"-88","across_elevation",3,95,5,33.009839,-117.273646,29,"South","Riverine","MPA","Perennially Open"
"4","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21","mid",1,"Low marsh","Chloe Van Grootheest","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-34.017,"m","Yes","NAD83","",1.379,"NAVD88","across_elevation",1,95,5,33.64137303,-117.97385945,23,"South","Riverine","NON-MPA","Temporarily Closed"
"5","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21","mid",1,"Low marsh","Chloe Van Grootheest","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-34.054,"m","Yes","NAD83","",1.342,"NAVD88","across_elevation",2,60,40,33.64132612,-117.97395196,23,"South","Riverine","NON-MPA","Temporarily Closed"
"6","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21","mid",1,"Low marsh","Chloe Van Grootheest","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-34.091,"m","Yes","NAD83","",1.305,"NAVD88","across_elevation",3,80,20,33.64127629,-117.97404148,23,"South","Riverine","NON-MPA","Temporarily Closed"
"7","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21","mid",1,"Low marsh","Chloe Van Grootheest","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-34.106,"m","Yes","NAD83","",1.29,"NAVD88","across_elevation",4,70,30,33.64122373,-117.9741286,23,"South","Riverine","NON-MPA","Temporarily Closed"
"8","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21","mid",1,"Low marsh","Chloe Van Grootheest","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-34.171,"m","Yes","NAD83","",1.225,"NAVD88","across_elevation",5,60,40,33.64117006,-117.97421493,23,"South","Riverine","NON-MPA","Temporarily Closed"
"9","SC-HBW","Huntington Beach Wetlands",1,"2023-10-26","high",1,"Mid marsh","Chloe Van Grootheest","Chloe Van Grootheest","","Bight-Estuary-23","Not recorded",-88,"Not recorded","No","NAD83","",-88,"Not recorded","across_elevation",11,100,0,-88,-88,23,"South","Riverine","NON-MPA","Temporarily Closed"
"10","SC-MAL","Malibu Lagoon",3,"2023-04-16","open",2,"Brackish marsh","David Boehmer","Christine Whitcraft","only start and end of transect measured","SMBRC-Prop50","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",2,85,15,34.033505,-118.685014,6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"11","SC-MAL","Malibu Lagoon",1,"2023-04-16","open",1,"Mid marsh","Alyssa Taylor","Christine Whitcraft","only start and end of transect measured","SMBRC-Prop50","13:00:45",-34.001,"m","Yes","NAD83","PST",1.738,"NAVD83","within_elevation",1,100,0,34.03236916,-118.68279291,6,"South","Lagoonal","NON-MPA","Temporarily Closed"
